"","1A _DLD1_P_Gree_03.#m4_","1B_DLD1_P_Gree_04.#m4_","1C_DLD1_P_Gree_05.#m4_","1D_DLD1_P_Gree_06.#m4_","2A_DLD1_P_Gree_07.#m4_","2B_DLD1_P_Gree_08.#m4_","2C_DLD1_P_Gree_09.#m4_","2D_DLD1 _P_Gree_10.#m4_","3A_DLD1 _P_Gree_11.#m4_","3B_DLD1 _P_Gree_12.#m4_","3C_DLD1 _P_Gree_13.#m4_","3D DLD-1_P_Gree_03.#m4_","4A DLD-1_P_Gree_04.#m4_","4B DLD-1_P_Gree_05.#m4_","4C DLD-1_P_Gree_07.#m4_","4D DLD-1_P_Gree_08.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
19.89,20,34,30,22,39,41,33,35,42,20,25,31,15,13,8,7
19.97,25,32,19,27,37,36,37,39,39,32,22,36,8,8,12,7
20.04,23,26,25,24,32,48,25,24,38,21,19,38,15,7,4,11
20.12,24,26,21,30,44,42,28,26,27,40,25,39,11,7,8,19
20.20,28,30,31,21,36,30,29,32,27,27,23,39,12,15,3,9
20.28,22,27,31,17,42,40,29,24,32,27,28,49,15,9,9,6
20.35,21,24,25,21,28,39,19,36,27,22,21,33,10,12,5,5
20.43,14,23,37,26,43,32,29,19,17,30,21,20,14,15,8,13
20.51,26,22,27,21,33,17,25,30,24,21,20,34,6,9,8,3
20.59,20,33,17,21,20,34,34,34,18,28,14,28,15,11,6,7
20.66,9,26,17,17,37,41,19,38,26,27,19,25,9,6,6,8
20.74,16,14,31,18,30,28,27,30,17,20,23,37,10,12,6,10
20.82,18,22,24,20,34,31,22,29,23,20,12,28,8,12,9,9
20.90,14,20,18,21,32,24,26,30,16,21,27,28,11,6,10,11
20.97,10,22,15,25,32,31,21,16,24,18,16,30,9,6,7,7
21.05,19,26,21,16,27,18,18,23,29,22,14,26,11,9,10,9
21.13,14,23,17,27,32,29,19,23,20,27,18,33,11,5,3,8
21.21,15,18,20,23,28,34,23,26,26,20,15,25,7,10,8,9
21.28,26,17,17,24,20,33,14,19,17,26,6,19,6,15,10,8
21.36,11,17,17,16,22,34,26,23,17,17,10,34,9,8,5,8
21.44,21,13,17,18,22,32,22,17,20,24,19,28,5,6,8,7
21.52,12,12,20,16,31,23,14,16,26,15,14,21,8,10,4,2
21.59,12,17,17,13,22,31,34,15,29,13,20,21,11,7,4,6
21.67,10,15,24,16,21,33,16,24,15,17,19,30,11,7,6,6
21.75,19,11,16,6,22,17,20,17,19,21,16,24,12,10,6,7
21.83,8,21,11,12,24,20,14,13,24,20,11,26,9,6,13,5
21.90,12,19,16,16,28,28,11,28,26,19,16,29,7,5,6,7
21.98,18,17,15,15,21,30,26,10,12,16,10,22,9,4,7,4
22.06,15,15,16,18,22,26,18,16,21,12,17,15,17,8,5,6
22.14,11,15,18,9,29,22,19,13,16,15,12,28,6,9,3,5
22.21,13,15,14,16,32,27,17,18,16,13,16,12,8,4,6,8
22.29,27,8,12,12,25,26,18,24,23,10,12,21,8,12,3,2
22.37,17,10,10,5,16,28,25,25,21,10,11,24,7,7,4,14
22.45,16,14,15,7,24,28,16,20,11,9,10,19,9,4,6,3
22.52,9,7,12,15,21,27,21,20,19,20,9,21,5,6,6,10
22.60,9,14,15,8,21,17,15,16,18,13,18,26,11,3,6,3
22.68,7,4,6,18,27,26,12,17,17,12,12,22,7,2,6,6
22.76,11,6,9,15,20,15,22,15,16,16,10,23,5,8,4,8
22.83,6,11,18,12,16,22,21,19,24,20,8,13,7,10,5,5
22.91,10,11,10,12,20,20,17,12,13,10,16,16,7,11,7,6
22.99,14,12,10,7,26,12,22,13,13,10,13,18,3,7,3,2
23.07,7,9,4,11,16,13,18,15,17,9,14,16,4,5,3,2
23.14,6,9,14,10,16,18,15,14,13,10,12,15,10,4,5,6
23.22,6,6,8,8,23,20,14,17,14,9,12,22,4,8,4,6
23.30,10,9,10,10,12,21,9,20,19,15,8,26,8,3,1,5
23.38,9,7,12,11,16,20,12,19,9,7,8,14,7,3,3,1
23.45,10,9,8,7,22,17,19,14,10,15,6,19,6,4,4,2
23.53,9,10,9,10,20,12,12,15,22,6,10,24,6,3,6,2
23.61,7,15,5,4,17,12,8,11,10,9,11,16,3,6,2,3
23.69,8,10,12,9,12,16,12,5,12,14,12,20,5,4,2,4
23.76,8,4,8,4,22,18,12,15,9,13,15,16,3,2,6,4
