"","A1_Caco-2_CO_P_Gree_03 (1).#m4_","A1_Caco-2_CO_P_Gree_03.#m4_","A2_Caco-2_0._P_Gree_07.#m4_","A3_Caco-2_1_P_Gree_11.#m4_","A4_Caco-2_5_P_Gree_03.#m4_","B1_Caco-2_CO_P_Gree_04.#m4_","B2_Caco-2_0._P_Gree_08.#m4_","B3_Caco-2_1_P_Gree_12.#m4_","B4_Caco-2_5_P_Gree_04.#m4_","C1_Caco-2_CO_P_Gree_05.#m4_","C2_Caco-2_0._P_Gree_09.#m4_","C3_Caco-2_1_P_Gree_13.#m4_","C4_Caco-2_5_P_Gree_05.#m4_"
"Bin Diameter (Center)","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff.","Diff."
"um","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number","Number"
17.80,6,6,8,6,6,3,4,7,0,6,14,6,4
17.87,8,8,6,0,4,5,5,10,3,7,10,3,1
17.95,2,2,6,2,7,6,7,12,3,8,13,3,4
18.03,2,2,11,7,4,1,9,2,2,7,9,3,1
18.11,5,5,5,3,4,9,12,10,1,7,11,11,0
18.18,5,5,7,3,7,5,7,3,2,3,12,7,4
18.26,8,8,6,4,2,6,11,8,4,1,8,8,0
18.34,9,9,5,8,8,10,10,9,3,2,5,5,0
18.42,9,9,4,1,8,8,1,5,3,5,9,4,0
18.49,8,8,13,5,10,3,5,13,6,5,8,5,1
18.57,8,8,7,4,4,5,10,8,2,6,11,5,0
18.65,7,7,10,8,12,7,11,11,2,3,12,5,2
18.73,4,4,8,1,7,7,9,10,2,5,10,7,2
18.80,8,8,6,4,9,4,5,7,8,4,10,9,3
18.88,3,3,13,2,3,10,9,8,3,1,16,5,4
18.96,11,11,6,5,8,6,13,9,2,5,7,3,1
19.04,10,10,10,4,5,2,8,11,1,6,8,4,4
19.11,3,3,8,4,4,7,8,11,3,9,17,7,2
19.19,5,5,14,3,10,4,2,7,3,5,10,4,3
19.27,5,5,13,5,10,4,8,6,5,6,11,10,3
19.35,7,7,10,5,11,4,7,1,0,3,7,2,5
19.42,8,8,12,4,5,8,10,13,4,7,12,7,0
19.50,10,10,17,6,10,5,9,13,6,6,8,8,3
19.58,14,14,13,7,6,6,15,14,7,6,15,12,5
19.66,7,7,9,7,13,3,12,14,1,3,10,6,2
19.73,8,8,14,9,12,6,9,6,4,3,16,13,4
19.81,8,8,11,0,9,4,9,11,3,5,8,6,1
19.89,5,5,7,6,5,5,10,5,1,6,12,1,2
19.97,8,8,8,2,9,6,6,11,5,4,10,4,3
20.04,2,2,8,3,16,3,9,10,4,1,9,8,2
20.12,5,5,16,5,7,6,11,10,3,2,14,5,0
20.20,5,5,9,8,4,6,10,13,1,8,15,4,0
20.28,6,6,10,6,12,1,11,8,1,4,9,8,2
20.35,4,4,12,7,11,3,14,3,2,7,13,6,1
20.43,5,5,13,2,4,1,15,1,4,5,9,6,1
20.51,1,1,12,6,6,6,13,12,4,2,5,7,2
20.59,10,10,11,6,5,5,7,6,5,3,18,5,1
20.66,7,7,11,8,7,1,11,7,2,3,15,5,0
20.74,7,7,8,7,7,4,6,8,4,3,14,6,4
20.82,2,2,7,4,2,5,4,7,3,4,8,11,3
20.90,9,9,12,5,4,7,10,13,2,7,15,5,2
20.97,7,7,10,5,5,6,15,6,3,3,16,9,3
21.05,10,10,13,3,9,3,12,5,3,2,12,5,1
21.13,3,3,11,4,4,4,6,6,4,5,8,6,0
21.21,4,4,10,8,3,0,5,14,0,6,12,7,3
21.28,7,7,14,4,11,5,6,6,5,3,14,2,3
21.36,5,5,9,7,3,5,15,11,1,3,10,6,2
21.44,8,8,10,4,5,3,6,6,3,7,15,3,2
21.52,6,6,14,2,9,3,4,8,4,4,16,7,2
21.59,3,3,9,4,4,3,6,4,3,2,8,9,0
21.67,4,4,8,5,5,1,9,6,2,5,11,3,2
21.75,3,3,8,4,6,2,9,8,4,3,14,0,1
21.83,4,4,8,1,13,3,15,9,6,3,6,7,3
21.90,6,6,6,6,9,1,10,5,1,6,10,3,3
21.98,4,4,11,5,5,2,7,12,3,5,10,4,1
22.06,4,4,12,4,9,5,5,3,0,2,14,6,2
22.14,9,9,8,3,6,4,7,6,2,0,14,3,1
22.21,4,4,9,6,2,3,9,9,3,3,9,4,1
22.29,1,1,6,4,4,3,2,6,2,1,8,2,2
22.37,3,3,6,2,4,4,9,6,2,5,15,6,1
22.45,2,2,3,3,6,5,8,3,1,4,10,5,0
22.52,6,6,8,5,4,1,8,5,2,0,12,4,2
22.60,4,4,9,2,7,4,6,7,0,3,10,1,1
22.68,5,5,4,2,2,4,6,4,0,5,9,5,0
22.76,3,3,7,4,5,1,3,5,4,4,9,7,2
22.83,3,3,8,5,6,3,2,4,2,3,6,9,4
22.91,2,2,1,4,6,4,8,4,0,5,8,3,2
22.99,3,3,6,7,8,2,6,5,0,5,5,4,2
23.07,2,2,4,8,3,2,7,7,3,3,10,1,3
23.14,2,2,11,2,3,1,4,8,4,2,5,2,1
23.22,3,3,5,3,6,2,6,9,1,5,6,4,2
23.30,1,1,6,2,4,2,5,2,1,0,8,1,3
23.38,5,5,6,5,4,5,3,9,1,2,3,4,1
23.45,3,3,4,2,4,1,5,6,1,5,9,5,1
23.53,5,5,8,3,2,0,15,4,0,6,9,3,2
23.61,1,1,3,0,2,5,6,4,1,5,4,3,4
23.69,2,2,6,6,2,1,7,4,2,1,11,6,2
23.76,6,6,7,3,3,4,8,5,2,2,1,2,1
23.84,2,2,5,3,3,1,4,2,0,1,7,4,2
23.92,5,5,11,2,5,1,3,2,0,2,7,1,5
24.00,4,4,8,4,5,1,6,2,1,0,11,0,0
24.07,4,4,7,5,3,2,7,4,3,1,12,7,0
24.15,2,2,4,2,2,3,10,7,0,3,9,3,0
24.23,3,3,7,5,4,4,3,12,2,5,10,5,2
24.31,3,3,5,3,5,5,5,2,1,3,8,4,1
24.38,1,1,7,4,2,4,7,2,0,3,8,2,1
24.46,3,3,3,2,4,1,3,5,1,1,8,0,1
24.54,3,3,6,3,0,2,3,6,1,2,10,5,1
24.62,0,0,3,2,1,1,5,5,0,5,12,3,1
24.69,2,2,8,4,1,1,2,1,1,2,4,3,0
24.77,2,2,2,3,2,1,6,3,1,2,8,2,1
24.85,4,4,4,5,1,1,3,5,1,0,11,2,3
24.93,4,4,4,4,2,2,2,3,3,4,4,3,1
25.00,1,1,3,3,0,3,1,2,1,4,3,3,2
25.08,3,3,5,1,2,0,2,2,2,1,3,3,4
25.16,1,1,3,0,1,3,4,6,1,3,6,1,0
25.24,4,4,6,3,2,2,5,4,1,2,10,5,0
25.31,1,1,8,4,5,3,6,5,1,2,7,4,1
25.39,6,6,1,4,3,1,4,3,2,1,5,5,1
25.47,2,2,10,3,2,2,6,3,0,3,4,1,0
25.55,4,4,2,0,2,1,7,2,1,3,5,2,3
25.62,3,3,3,2,3,3,8,7,1,1,7,1,2
25.70,5,5,4,1,2,2,3,3,1,1,5,3,3
25.78,2,2,5,3,2,2,4,7,0,3,7,2,0
25.86,3,3,4,3,5,0,5,5,0,3,6,2,0
25.93,2,2,1,5,1,0,1,4,2,3,5,2,1
26.01,0,0,4,4,1,2,5,3,2,1,2,3,3
26.09,0,0,3,0,2,2,5,4,0,3,6,3,1
26.17,2,2,1,2,3,2,3,4,1,5,6,3,0
26.24,3,3,3,3,5,0,4,4,1,3,6,1,1
26.32,0,0,3,1,0,2,2,3,1,4,2,3,1
26.40,5,5,4,3,1,1,1,5,2,0,4,1,0
26.48,1,1,9,2,2,2,4,1,2,3,3,5,1
26.55,2,2,7,1,0,3,5,2,1,1,7,2,0
26.63,4,4,6,0,0,1,4,2,0,0,3,1,1
26.71,3,3,4,1,1,1,4,3,1,1,6,2,0
26.79,2,2,3,4,0,2,5,3,2,0,3,2,1
26.86,0,0,4,2,3,1,8,1,1,0,3,3,0
26.94,2,2,5,3,1,1,4,5,1,1,5,2,1
27.02,4,4,2,1,2,3,3,0,1,2,5,3,1
27.10,2,2,2,1,1,0,3,2,0,1,5,0,2
27.17,0,0,3,2,4,0,3,4,2,2,3,1,1
27.25,3,3,4,3,1,3,1,1,1,1,3,1,0
27.33,5,5,1,2,1,1,5,4,0,0,4,1,0
27.41,4,4,4,1,1,2,4,2,2,1,6,2,1
27.48,2,2,0,1,2,1,4,0,0,1,4,1,2
27.56,5,5,3,1,2,3,2,2,0,5,6,2,1
27.64,1,1,2,1,1,0,5,1,0,0,4,0,1
27.72,4,4,1,2,1,0,0,1,1,2,4,1,1
27.79,1,1,1,1,2,1,5,4,1,1,7,4,0
27.87,4,4,3,2,2,0,0,5,1,1,7,5,4
27.95,5,5,6,1,1,0,3,2,2,3,7,1,0
28.03,4,4,4,1,1,2,2,1,0,0,3,1,1
28.10,0,0,2,3,2,0,7,3,1,1,2,1,2
28.18,4,4,1,4,2,2,1,1,0,1,3,0,0
28.26,4,4,2,1,5,2,1,4,1,1,3,1,0
28.34,1,1,1,2,1,0,4,0,0,0,3,2,1
28.41,1,1,2,1,1,0,0,3,2,0,5,2,1
28.49,3,3,2,2,3,1,2,1,0,0,6,0,0
28.57,2,2,3,1,1,1,3,5,1,0,3,0,1
28.65,4,4,3,3,1,1,3,0,2,2,5,1,1
28.72,2,2,3,1,1,0,2,1,1,3,3,0,0
28.80,1,1,2,1,1,0,4,2,1,2,4,2,2
28.88,4,4,1,1,1,0,5,2,0,2,2,3,1
28.96,2,2,1,1,1,2,2,4,1,1,2,0,2
29.03,1,1,2,2,3,0,5,3,0,1,2,3,0
29.11,0,0,2,0,1,1,5,1,0,0,3,1,1
29.19,0,0,0,1,0,0,2,1,0,1,1,1,1
29.27,0,0,2,1,1,0,1,2,0,1,3,2,1
29.34,2,2,3,2,1,1,5,2,0,0,1,3,0
29.42,3,3,3,1,1,0,2,0,1,0,2,0,0
29.50,2,2,1,0,1,0,2,2,1,1,6,1,0
29.58,2,2,1,3,1,1,4,1,0,1,3,3,0
29.65,2,2,1,1,0,1,0,3,1,1,1,1,0
29.73,1,1,0,2,2,1,3,2,1,1,3,0,0
29.81,0,0,1,1,1,1,0,1,0,1,2,0,0
29.89,0,0,2,2,0,1,2,4,1,0,5,0,1
29.96,0,0,1,0,1,2,1,2,0,0,5,0,0
30.04,3,3,1,1,0,1,2,2,1,1,1,1,0
30.12,2,2,1,2,1,1,2,2,1,0,3,0,1
